-73.6817,42.7717,112th Street Bridge,
-73.933139,40.819525,145th Street Bridge,
-73.954511,40.75675,59 St (Queensboro) Bridge,
-80.08447,26.9337,706 Bridge,
-83.14547,41.2098,Abbots Bridge,
-114.03977,48.3947,Abbott Creek Bridge,
-84.16797,34.0287,Abbotts Bridge,
-86.56997,35.1418,Abd Bridge,
-85.742478,38.2642,Abraham Lincoln Bridge,
-93.27127,35.0643,Achmun Creek Bridge,
-81.66397,30.3216,Acosta Bridge,
-83.54767,34.4259,Acreys Bridge,
-94.65187,41.493,Adair Viaduct,
-68.34027,44.2531,Adam Bridge,
-84.96187,36.0615,Adams Bridge,
-76.99267,37.34259,Adams Bridge,
-87.14557,39.7812,Adams Covered Bridge (historical),
-85.29657,33.7762,Adderholds Bridge,
-94.01747,41.6144,Adel Bridge,
-89.19167,36.2512,Adkison Memorial Bridge,
-122.56597,47.712,Agate Pass Bridge,
-119.57317,37.7441,Ahwahnee Bridge,
-82.32897,26.9365,Ainger Creek Bridge,
-84.09957,33.4859,Air Line Bridge,
-81.40317,41.6425,Airborne Memorial Bridge,
-88.08917,39.5548,Airtight Bridge,
-95.92167,41.26,Ak Sar Ben Bridge,
-83.27067,34.4712,Akins Bridge,
-106.64217,35.1975,Alameda Bridge,
-71.24057,44.0059,Albany Bridge,
-74.43787,40.4973,Albany Street Bridge,
-89.30147,31.4957,Albeison Bridge,
-109.46957,45.5286,Albert Johnson Bridge,
-71.45167,41.9523,Albion Bridge,
-93.80987,42.4053,Albright Bridge,
-93.37547,42.5208,Alden Bridge,
-77.63936,38.97509,Aldie Bridge,
-88.92197,30.8641,Alexander Bridge,
-85.22937,34.9067,Alexander Bridge,
-81.99367,34.77729,Alexander Bridge,
-73.92857,40.84559,Alexander Hamilton Bridge,
-122.53577,37.9319,Alexander-Acacia Bridge,
-82.83707,34.3837,Alfords Bridge (historical),
-77.03717,35.1002,Alfred A Cunningham Bridge,
-100.32317,42.8953,Allen Bridge,
-82.90787,36.0593,Allen Bridge,
-79.05917,40.6284,Allen Bridge,
-86.23417,35.4681,Allen Bridge (historical),
-78.06356,34.0257,Allen Creek Bridge,
-96.90777,36.0278,Allen Williamson Bridge,
-82.06927,34.7187,Allens Bridge,
-79.21617,34.2663,Allens Bridge,
-119.70797,38.8907,Allens Bridge (historical),
-77.19796,36.8927,Allens Bridge (historical),
-122.27957,47.4907,Allentown Bridge,
-89.76697,37.2153,Allenville Covered Bridge,
-79.85787,33.1446,Alligator Bridge,
-82.01927,26.8878,Alligator Creek Bridge,
-111.22357,45.116,Almart Bridge,
-81.46091863,31.35115396,Altamaha River Bridge I-95 NB,"I-95 Brunswick, GA 31525"
-81.46028948,31.35479221,Altamaha River Bridge I-95 SB,"I-95 Brunswick, GA 31525"
-81.46749054,31.33479333,Altamaha River Bridge1 I-95 NB,"I-95 Brunswick, GA 31525"
-81.46603754,31.33857985,Altamaha River Bridge1 I-95 SB,"I-95 Brunswick, GA 31525"
-89.82507,40.0839,Altig Bridge,
-80.42667,37.0146,Altizer Bridge,
-82.14117,31.2413,Altman Bridge (historical),
-88.10057,30.8332,Alvarez Bridge,
-88.03337,35.6276,Alvin C York Bridge,
-83.07407,42.3117,Ambassador Bridge,
-80.23667,40.5923,Ambridge Woodlawn Bridge,
-82.04367,36.564,American Legion Memorial Bridge,
-77.17907,38.9701,American Legion Memorial Bridge,
-121.50497,38.60049,American River Bridge,
-89.33197,40.5623,Amerman Bridge,
-90.50987,41.8509,Ames Creek Bridge,
-81.86867,31.2391,Ammons Ferry Bridge (historical),
-71.47007,43.004,Amoskeag Bridge,
-68.26967,44.3237,Amphitheater Bridge,
-76.97187,38.8801,Anacostia Railroad Bridge,
-75.66927,35.9121,Ananias Dare Street Bridge,
-111.24077,45.2727,Anceney Bridge,
-82.75397,28.1517,Anclote Bridge,
-80.15067,32.6088,Andell Bridge,
-87.31747,35.7792,Anderson Bend Bridge,
-109.59017,47.5589,Anderson Bridge,
-100.92597,42.7872,Anderson Bridge,
-96.25047,32.0524,Anderson Bridge,
-84.90517,34.9442,Anderson Bridge,
-82.45987,36.5618,Anderson Bridge,
-82.16817,34.7973,Anderson Bridge,
-82.01087,34.8843,Anderson Bridge,
-79.68197,33.9752,Anderson Bridge,
-78.20297,35.941,Anderson Bridge,
-77.63217,37.9651,Anderson Bridge,
-80.75807,37.3404,Anderson E Shumate Memorial Bridge,
-82.06707,34.8487,Andersons Bridge,
-80.86167,37.3721,Andrew S Rowan Bridge,
-77.62387,38.1785,Andrews Bridge,
-69.99336105,43.93119385,Androscoggin River Bridge I-295 NB,"I-295 Brunswick, ME 04011"
-69.99383437,43.93148244,Androscoggin River Bridge I-295 SB,"I-295 Brunswick, ME 04011"
-70.20785915,44.06379573,Androscoggin River Bridge I-95 NB,
-70.20649608,44.0651142,Androscoggin River Bridge I-95 SB,"I-95S/N Lewiston, ME 04240"
-94.72627,31.4571,Angelina River Bridge,
-79.99087,36.5351,Anglins Bridge,
-85.59377,31.9835,Anglins Bridge (historical),
-82.69427,27.4964,Anna Maria Bridge,
-84.07627,33.8051,Annistown Bridge,
-84.82827,41.5728,Anspaugh Bridge,
-75.78267,44.1112,Anstead Bridge,
-108.50087,41.42799,Antelope Bridge,
-86.17077,35.4465,Anthony Bridge,
-79.57887,37.03649,Anthony Ford Bridge (historical),
-83.53347,41.6409,Anthony Wayne Bridge,
-77.74607,39.41729,Antietam Creek Aqueduct,
-121.75047,38.0246,Antioch Bridge,
-93.77967,37.3389,Antioch Bridge,
-84.82357,35.9981,Antioch Bridge,
-115.98237,45.4618,Antler Ridge,
-105.87967,35.4814,Apache Canyon Railroad Bridge Historic Site,
-84.91937,29.7224,Apalachicola Bay Bridge,
-104.00547,37.9095,Apishapa Bridge,
-77.3361617,37.31078552,Appomattox River Bridge I-295 NB,"I-295 Prince George, VA 23860"
-77.33475471,37.31517755,Appomattox River Bridge I-295 SB,"I-295 Prince George, VA 23860"
-77.39532704,37.23843863,Appomattox River Bridge I-95 NB,
-77.39539233,37.23949509,Appomattox River Bridge I-95 SB,"I-95 Petersburg, VA 23803"
-77.06937,38.90229,Aqueduct Bridge (historical),
-77.39192641,38.4856012,Aquia Creek Bridge I-95 Express,
-77.39186422,38.48525268,Aquia Creek Bridge I-95 NB,
-77.39212322,38.48600085,Aquia Creek Bridge I-95 SB,
-123.25257,45.8332,Arcadia Bridge,
-88.02167,35.2773,Arch Bridge,
-83.58926,33.8815,Arch Bridge,
-96.80857,31.7438,Archer Bridge,
-84.89517,33.9973,Archibald Holland Bridge,
-77.03997,38.8754,Arland D Williams Junior Memorial Bridge,
-120.92047,40.08209,Arlington Bridge,
-73.22037,43.1045,Arlington Green Covered Bridge,
-77.05546,38.8873,Arlington Memorial Bridge,
-106.80497,46.2597,Armells Creek Bridge,
-76.80626,43.0206,Armitage Bridge,
-80.22447,40.9037,Armstrong Bridge,
-123.07337,43.6768,Army Bridge,
-71.39307,41.979,Arnold Mills Bridge,
-72.64867,41.5693,Arrigoni Bridge,
-78.02467,36.1274,Arrington Bridge,
-92.14767,46.7197,Arrowhead Bridge,
-69.77167,43.8348,Arrowsic-Georgetown Bridge,
-79.91735,32.8031,Arthur J. Ravenel Bridge,
-79.92497,32.8033,Arthur Ravenel Junior Bridge,
-72.71867,42.6701,Arthur Smith Covered Bridge,
-94.57997,39.1169,ASB Bridge,
-82.70837,29.5261,Asbell Creek Bridge,
-91.17007,39.5056,Ashburn Bridge,
-80.7024309,32.90568972,Ashepoo River Bridge I-95 NB,
-80.70315368,32.9059768,Ashepoo River Bridge I-95 SB,
-91.53457,39.5937,Asher Bridge,
-81.16837,34.196,Ashley Bridge,
-114.24477,48.1352,Ashley Creek Bridge,
-80.23984104,33.09908789,Ashley River Bridge I-26 NB,
-80.24000189,33.09881313,Ashley River Bridge I-26 SB,
-79.96147,32.7835,Ashley River Memorial Bridge,
-98.00787,47.1592,Ashtabula Bridge,
-91.26207,32.9929,Ashton Bridge,
-71.43277,41.93869,Ashton Viaduct,
-72.42367,42.7773,Ashuelot Bridge,
-123.68367,45.1404,Asinine Bridge,
-90.63177,32.361,Askew Bridge,
-71.59453053,42.36864978,Ass EBet River Bridge I-495 NB,
-71.59539076,42.36854089,Ass EBet River Bridge I-495 SB,
-75.08707,38.38819,Assawoman Bay Bridge,
-107.84177,48.4431,Assiniboine Creek Bridge,
-68.26717,44.3109,Asticou Trail Bridge,
-123.86237,46.2165,Astoria Bridge,
-83.21267,34.3198,Atkinson Bridge,
